MAP_DIMENSIONS
20,20
MAP_TILES
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
RESOURCE,GOLD
EMPTY,NONE
RESOURCE,IRON
EMPTY,NONE
EMPTY,NONE
RESOURCE,STONE
EMPTY,NONE
RESOURCE,IRON
EMPTY,NONE
RESOURCE,FOOD
RESOURCE,IRON
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
RESOURCE,GOLD
EMPTY,NONE
RESOURCE,STONE
RESOURCE,GOLD
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
RESOURCE,GOLD
RESOURCE,WOOD
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
RESOURCE,IRON
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
RESOURCE,STONE
RESOURCE,IRON
RESOURCE,FOOD
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
RESOURCE,GOLD
EMPTY,NONE
EMPTY,NONE
RESOURCE,STONE
RESOURCE,FOOD
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
RESOURCE,FOOD
EMPTY,NONE
RESOURCE,STONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
RESOURCE,IRON
RESOURCE,STONE
EMPTY,NONE
EMPTY,NONE
RESOURCE,IRON
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
RESOURCE,STONE
EMPTY,NONE
EMPTY,NONE
RESOURCE,FOOD
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
EMPTY,NONE
